
---------- Begin Simulation Statistics ----------
simSeconds                                   0.146670                       # Number of seconds simulated (Second)
system.cpu.wbFanout                          0.258323                       # Average fanout of values written-back ((Count/Count))
system.cpu.timesIdled                             308                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           37891                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                   100000005                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                     100000005                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               2.933392                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          2.933392                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               0.340902                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          0.340902                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                  183717322                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                  21740613                       # Number of integer regfile writes (Count)
system.cpu.miscRegfileReads                        16                       # number of misc regfile reads (Count)
system.cpu.MemDepUnit__0.insertedLoads        1348831                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores      64347480                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads       118776                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores         8104                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                16569279                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted          16558933                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect              5322                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups             16516838                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                16515614                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBMissPct             0.000074                       # BTB Miss Percentage (Ratio)
system.cpu.branchPred.BTBHitRatio            0.999926                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                       0                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  0                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups            3661                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits               2584                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses             1077                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          369                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts         1355151                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls              16                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts              5012                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples    293095620                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     0.341186                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     1.259224                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0       263653940     89.95%     89.95% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1         9569395      3.26%     93.22% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2         7215277      2.46%     95.68% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3          115044      0.04%     95.72% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4            9439      0.00%     95.72% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5          739506      0.25%     95.98% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6        11187239      3.82%     99.79% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7           50036      0.02%     99.81% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8          555744      0.19%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total    293095620                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted            100000005                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted              100000005                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                    64194491                       # Number of memory references committed (Count)
system.cpu.commit.loads                       1305861                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                           0                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                   15851233                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                          0                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                   100000005                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                  7277                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass            0      0.00%      0.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu     35805514     35.81%     35.81% # Class of committed instruction (Count)
